 20250215-185706,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_043_5b16d521 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_043_5b16d521,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.790701 - logloss: 0.534606
 20250215-190603,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_044_a89cc89a --gpu 0,[exp_id] DIN_MicroLens_1M_x1_044_a89cc89a,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.556751 - logloss: 0.712684
 20250215-191829,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_045_9a8caf25 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_045_9a8caf25,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.558657 - logloss: 0.819993
 20250215-195649,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_046_caabd81a --gpu 0,[exp_id] DIN_MicroLens_1M_x1_046_caabd81a,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.837977 - logloss: 0.922947
 20250215-202925,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_047_15f2956d --gpu 0,[exp_id] DIN_MicroLens_1M_x1_047_15f2956d,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.878970 - logloss: 0.706352
 20250215-213144,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_048_1df4258f --gpu 0,[exp_id] DIN_MicroLens_1M_x1_048_1df4258f,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.887069 - logloss: 0.622612
 20250215-221019,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_049_fe68f651 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_049_fe68f651,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.842167 - logloss: 0.879757
 20250215-224907,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_050_114c2803 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_050_114c2803,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.853397 - logloss: 0.840430
 20250215-232757,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_051_796e44e8 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_051_796e44e8,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.863171 - logloss: 0.793823
 20250216-000622,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_052_e1eea93d --gpu 0,[exp_id] DIN_MicroLens_1M_x1_052_e1eea93d,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.848626 - logloss: 0.860205
